"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Simon Says (LNRP Mixshow Edit) (Dirty)","Pharoahe Monch","4:43:41 PM","4:45:46 PM","00:02:05","1","","Simon Says (LNRP Mixshow Edit) (Dirty)","94","Fm","1999","Rap"
"Nutshell (Clean)","Phife","4:44:47 PM","4:46:41 PM","00:01:54","2","","Nutshell (Clean)","94","Fm","2016","Hip-Hop"
"Guess Who's Back (LNRP Mixshow Edit) (Clean)","Rakim","4:45:49 PM","4:47:36 PM","00:01:47","1","","Guess Who's Back (LNRP Mixshow Edit) (Clean)","94","Fm","1997","Hip-Hop"
"Pick It Up (Remix) (Intro Clean)","Redman","4:46:41 PM","4:48:17 PM","00:01:36","2","","Pick It Up (Remix) (Intro Clean)","94","G#m","","Hip Hop"
"Diamond Girl (Intro Clean)","Ryan Leslie","4:47:36 PM","4:49:43 PM","00:02:07","1","","Diamond Girl (Intro Clean)","94","Ebm","2007","R&B"
"To U - Oliver Remix","Skrillex & Diplo ft. AlunaGeorge","4:48:17 PM","4:50:32 PM","00:02:15","2","","To U - Oliver Remix","94","Db","","Other"
"Hypnotize (LNRP Mixshow Edit) (Clean)","The Notorious B.I.G","4:49:45 PM","4:51:54 PM","00:02:09","1","","Hypnotize (LNRP Mixshow Edit) (Clean)","94","Em","1997","Rap"
"Runnin (Intro Clean)","The Pharcyde","4:50:32 PM","4:51:04 PM","00:00:32","2","","Runnin (Intro Clean)","94","Am","","Hip Hop"
"Oh My God (SE) (Marty Mar Edit) (DIRTY)","Tribe Called Quest","4:51:04 PM","4:54:15 PM","00:03:11","2","","Oh My God (SE) (Marty Mar Edit) (DIRTY)","94","F#m","1994","Hip-Hop"
"I Want It All (LNRP Mixshow Edit) (Clean)","Warren G feat Mack 10","4:51:54 PM","4:52:15 PM","00:00:21","1","","I Want It All (LNRP Mixshow Edit) (Clean)","94","C#m","1999","Other"
"Guantanamera (Roxanne, Roxanne & Oye Como Va Remix) (Intro Clean)","Wyclef Jean ft Beenie Man & Kamani Marley","4:52:15 PM","4:55:50 PM","00:03:35","1","","Guantanamera (Roxanne, Roxanne & Oye Como Va Remix) (Intro Clean)","94","Gm","1997","Hip Hop"
"Run (Intro)","Bell Biv DeVoe","4:54:15 PM","4:54:38 PM","00:00:23","2","","Run (Intro)","95","Em","",""
"Chosen (DJcity Intro - Clean)","Blxst & Tyga ft. Ty Dolla $ign","4:54:38 PM","4:56:47 PM","00:02:09","2","","Chosen (DJcity Intro - Clean)","95","D","2020","R&B"
"Play (DJ Bizzon Babouche Bootleg) CLEAN","David Banner","4:55:50 PM","4:58:07 PM","00:02:17","1","","Play (DJ Bizzon Babouche Bootleg) CLEAN","95","Gm","",""
"Dont Look Any Further (MM Edit)","Dennis Edwards","4:56:47 PM","4:58:48 PM","00:02:01","2","","Dont Look Any Further (MM Edit)","95","Am","1984","80s RnB Soul Funk"
"9th Wonder (Blackitolism)","Digable Planets","4:58:07 PM","5:01:17 PM","00:03:10","1","","9th Wonder (Blackitolism)","95","Am","1994","Jazz"
"Where They At? (LP Version)","DJ Jimi","4:58:48 PM","5:00:55 PM","00:02:07","2","","Where They At? (LP Version)","95","Em","","Other"
"Love No Limit (Flipout Grown Folks Edit)","Flipout","5:00:55 PM","5:00:59 PM","00:00:04","2","","Love No Limit (Flipout Grown Folks Edit)","95","D","2021",""
"Love No Limit (Flipout Acoustic Edit)","Flipout","5:00:59 PM","5:01:01 PM","00:00:02","2","","Love No Limit (Flipout Acoustic Edit)","95","D","2021",""
"Love No Limit (Flipout Grown Folks Edit)","Flipout","5:01:01 PM","5:01:55 PM","00:00:54","2","","Love No Limit (Flipout Grown Folks Edit)","95","D","2021",""
"Call Me","FS Green","5:01:17 PM","5:03:31 PM","00:02:14","1","","Call Me","95","F#","2020",""
"My Jamaican Guy (MM Edit) (LL Cool J - Doin It sample)","Grace Jones","5:01:55 PM","5:02:45 PM","00:00:50","2","","My Jamaican Guy (MM Edit) (LL Cool J - Doin It sample)","95","Am","1982","80s RnB Funk Disco"
"Good Day (DJPM Short Edit)","Greg Street Ft. Nappy Roots","5:02:45 PM","5:02:53 PM","00:00:08","2","","Good Day (DJPM Short Edit)","95","C#m","","Other"
"Good Day (DJPM Short Edit)","Greg Street Ft. Nappy Roots","5:02:53 PM","5:04:26 PM","00:01:33","2","","Good Day (DJPM Short Edit)","95","C#m","","Other"
"Damage (Justin Credible Remix) (Mixshow Edit) (Clean)","H.E.R.","5:03:34 PM","5:05:23 PM","00:01:49","1","","Damage (Justin Credible Remix) (Mixshow Edit) (Clean)","95","Bbm","2020","Urban"
"I'm Not Your Puppet (Intro Clean)","Hi-C","5:04:26 PM","5:06:15 PM","00:01:49","2","","I'm Not Your Puppet (Intro Clean)","95","Ebm","1991","Hip Hop"
"We Be Clubbin (Intro Clean)","Ice Cube","5:05:23 PM","5:05:51 PM","00:00:28","1","","We Be Clubbin (Intro Clean)","95","Ebm","1997","Hip Hop"
"Think (Clean)","James Brown & The Famous Flames","5:05:51 PM","5:07:42 PM","00:01:51","1","","Think (Clean)","95","Dm","1973","R&B"
"Roc Boys (And The WInner Is) Mike Love Remix","Jay Z x Fela Kuti","5:06:15 PM","5:06:47 PM","00:00:32","2","","Roc Boys (And The WInner Is) Mike Love Remix","95","Gm",""," "
"Otis - Nick Bike Remix (Dirty)","JAY-Z & Kanye West ft. Otis Redding","5:06:47 PM","5:09:36 PM","00:02:49","2","","Otis - Nick Bike Remix (Dirty)","95","Bbm","2020","Hip Hop"
"Peaches vs. What You Want (PeteDown Mashup) (Clean) (XMiX Xpress Edit)","Justin Bieber feat. Daniel Caesar & Giveon vs. Mase","5:07:42 PM","5:10:14 PM","00:02:32","1","","Peaches vs. What You Want (PeteDown Mashup) (Clean) (XMiX Xpress Edit)","95","Gm","2021","Mash Up"
