"name","artist","start time","end time","playtime","deck","","song","bpm","key","year","genre"
"Who Got Da Props (Mixfits Edit)","Black Moon","8:04:32 PM","8:07:11 PM","00:02:39","1","","Who Got Da Props (Mixfits Edit)","100","C#m","","Other"
"Buddy (Clean) (Short Edit)","De La Soul ft Jungle Borthers, Q-Tip, Phife, Queen Latifah & Monie Love","8:06:05 PM","8:09:18 PM","00:03:13","2","","Buddy (Clean) (Short Edit)","100","C#m","","Hip Hop"
"Tres Deliquentes (XMiX Short Cut) (Clean)","Delinquent Habits","8:07:31 PM","8:11:24 PM","00:03:53","1","","Tres Deliquentes (XMiX Short Cut) (Clean)","100","Ebm","2020","Urban"
"Who Is He (What Is He 2 U) (DJ A-L Re-Drum)","DJ A-L","8:09:26 PM","8:13:12 PM","00:03:46","2","","Who Is He (What Is He 2 U) (DJ A-L Re-Drum)","100","Abm","2020",""
"The Number Song (Cut Chemist Remix)","DJ Shadow","8:11:24 PM","8:13:37 PM","00:02:13","1","","The Number Song (Cut Chemist Remix)","100","Bbm","","Blues"
"Jean Jacques Perrey - EVA (DJP Just to Get a Rep Edit)","djp","8:13:12 PM","8:14:14 PM","00:01:02","2","","Jean Jacques Perrey - EVA (DJP Just to Get a Rep Edit)","100","Cm","2016",""
"Kiss Me More (Nick Bike x Adam Doubleyou Hold Yuh Edit) (Dirty)","Doja Cat ft. SZA","8:13:37 PM","8:15:41 PM","00:02:04","1","","Kiss Me More (Nick Bike x Adam Doubleyou Hold Yuh Edit) (Dirty)","100","Ab","","Other"
"Function (feat. YG, IAmSu & Problem)","E-40","8:14:14 PM","6:50:01 PM","22:35:47","2","","Function (feat. YG, IAmSu & Problem)","100","F#m","2012","Hip-Hop/Rap"
"Straight Up (MCB X-Mix Edit)","Paula Abdul","6:47:38 PM","6:52:29 PM","00:04:51","1","","Straight Up (MCB X-Mix Edit)","96","Dm","1988","Other"
"Return Of The Mack (MCB X-Mix Edit)","Mark Morrison","6:50:01 PM","6:55:19 PM","00:05:18","2","","Return Of The Mack (MCB X-Mix Edit)","96","Am","1997","Other"
"What I Got (Full Tilt Remix)","Sublime","6:52:29 PM","6:57:59 PM","00:05:30","1","","What I Got (Full Tilt Remix)","96","Dm","2006","Other"
"Oops..I Did It Again (QH) (Rowshay Edit)","Britney Spears","6:56:09 PM","6:59:03 PM","00:02:54","2","","Oops..I Did It Again (QH) (Rowshay Edit)","95","C#m","2000","00s"
"Tempted (Redrum) (SE) [VM EDIT]","Squeeze","6:57:59 PM","7:00:50 PM","00:02:51","1","","Tempted (Redrum) (SE) [VM EDIT]","97","F#m","1981","80s"
"Sledgehammer (SE) (Kutt Edit)","Peter Gabriel","6:59:03 PM","7:02:48 PM","00:03:45","2","","Sledgehammer (SE) (Kutt Edit)","96","Eb","","80s"
"Shout (Extended Mix)","Tears For Fears","7:00:50 PM","7:05:36 PM","00:04:46","1","","Shout (Extended Mix)","99","Gm","",""
"Hold On (SE) [VM Edit]","Wilson Phillips","7:03:18 PM","7:08:54 PM","00:05:36","2","","Hold On (SE) [VM Edit]","100","Fm","1990","90s"
"Crazy In Love (Intro)","Beyonce (feat Jay Z)","7:05:36 PM","7:12:24 PM","00:06:48","1","","Crazy In Love (Intro)","99","Gm","2004","Other"
"Got Til It's Gone (MCB B&S Redrum)","Janet Jackson (feat Q-Tip)","7:08:54 PM","7:13:20 PM","00:04:26","2","","Got Til It's Gone (MCB B&S Redrum)","99","Cm","1998","Other"
"Rock Your Body - DJcity Throwback Edit (Intro)","Justin Timberlake","7:12:24 PM","7:16:45 PM","00:04:21","1","","Rock Your Body - DJcity Throwback Edit (Intro)","101","Em","","Other"
"Every Little Step (MCB Short Edit)","Bobby Brown","7:13:30 PM","7:19:05 PM","00:05:35","2","","Every Little Step (MCB Short Edit)","100","G#m","1989","Other"
"Unbelievable (Full Tilt Remix)","EMF","7:16:45 PM","7:21:20 PM","00:04:35","1","","Unbelievable (Full Tilt Remix)","104","G#m","1991","Other"
"Work It (SE) (Phase Edit)","Missy Elliot","7:19:05 PM","7:23:00 PM","00:03:55","2","","Work It (SE) (Phase Edit)","102","Cm","2002","00s"
"Butterfly (Culture Shock Remix MCB Edit)","Crazy Town","7:21:20 PM","7:26:33 PM","00:05:13","1","","Butterfly (Culture Shock Remix MCB Edit)","103","Am","","Other"
"Could You Be Loved (SE) (Punto G Edit)","Bob Marley","7:23:00 PM","7:28:10 PM","00:05:10","2","","Could You Be Loved (SE) (Punto G Edit)","103","Bm","1980","80s"
"Sweet Home Alabama (ReDrum) (Phase Edit)","Lynyrd Skynyrd","7:26:33 PM","7:30:31 PM","00:03:58","1","","Sweet Home Alabama (ReDrum) (Phase Edit)","98","G","1974","Rock"
"Fly Like An Eagle (Psymbionic Remix) (SE) [VM Edit]","Steve Miller Band","7:28:10 PM","7:33:59 PM","00:05:49","2","","Fly Like An Eagle (Psymbionic Remix) (SE) [VM Edit]","100","Am","1976","Rock"
"How Soon Is Now? (MCB Culture Shock Edit)","The Smiths","7:30:35 PM","7:38:18 PM","00:07:43","1","","How Soon Is Now? (MCB Culture Shock Edit)","96","F#m","1985","Other"
"99 Red Balloons (Culture Shock Remix)","Nena","7:33:59 PM","7:41:11 PM","00:07:12","2","","99 Red Balloons (Culture Shock Remix)","97","E","","Other"
"Back To Life (Ultimix Edit SHORT)","Soul II Soul","7:38:18 PM","7:42:33 PM","00:04:15","1","","Back To Life (Ultimix Edit SHORT)","100","Dm","1989","Other"
"I Can't Wait (MCB Mixshow Edit)","Nu Shooz","7:41:11 PM","7:46:01 PM","00:04:50","2","","I Can't Wait (MCB Mixshow Edit)","104","Gm","","Blues"
"Ain't Nobody (Intro Clean)","Rufus & Chaka Khan","7:42:33 PM","7:49:51 PM","00:07:18","1","","Ain't Nobody (Intro Clean)","104","Ebm","1983","R&B"
"Stayin' Alive (Wicked Mix)","Bee Gees","7:46:01 PM","7:53:26 PM","00:07:25","2","","Stayin' Alive (Wicked Mix)","104","Ebm","","Other"
"Brick House (SE) (Phase Edit)","Commodores","7:49:51 PM","7:55:01 PM","00:05:10","1","","Brick House (SE) (Phase Edit)","105","Em","1977","70s"
"Jump Around (Intro - Clean)","House Of Pain","7:53:26 PM","7:56:09 PM","00:02:43","2","","Jump Around (Intro - Clean)","107","Em","",""
"Everybody (QH) [VM EDIT]","Backstreet Boys","7:55:01 PM","7:58:17 PM","00:03:16","1","","Everybody (QH) [VM EDIT]","108","Bbm","1997","90s"
"Hollaback Girl (MCB Ultimix Edit)","Gwen Stefani","7:56:09 PM","8:01:20 PM","00:05:11","2","","Hollaback Girl (MCB Ultimix Edit)","110","Ebm","2005","Other"
"Wannabe (XMiX 2019 Edit)","Spice Girls","7:58:17 PM","8:03:59 PM","00:05:42","1","","Wannabe (XMiX 2019 Edit)","110","B","2019","Party Classic"
"I Want You Back (MCB Edit)","N'Sync","8:01:20 PM","8:05:39 PM","00:04:19","2","","I Want You Back (MCB Edit)","112","G#m","","Other"
"Rob Base & DJ EZ Rock - It Takes Two (MCB X-Mix Urban Edit)","Rob Base & DJ EZ Rock","8:03:59 PM","8:08:07 PM","00:04:08","1","","Rob Base & DJ EZ Rock - It Takes Two (MCB X-Mix Urban Edit)","111","Ebm","1988","Other"
"One Week (MCB Big Beat Edit)","Barenaked Ladies","8:05:59 PM","8:09:47 PM","00:03:48","2","","One Week (MCB Big Beat Edit)","113","A","","Other"
"Gonna Make You Sweat (SE) (Punto G Edit)","C & C Music Factory","8:08:07 PM","8:12:28 PM","00:04:21","1","","Gonna Make You Sweat (SE) (Punto G Edit)","113","Bbm","","90s"
"The Right Stuff (MCB Culture Shock Edit)","New Kids On The Block","8:10:54 PM","8:15:37 PM","00:04:43","2","","The Right Stuff (MCB Culture Shock Edit)","112","Cm","1989","Other"
